date,cases
26-fev,453
27-fev,655
28-fev,888
29-fev,1128
1-mar,1694
2-mar,2036
3-mar,2502
4-mar,3089
5-mar,3858
6-mar,4636
7-mar,5883
8-mar,7375
9-mar,9172
10-mar,10149
11-mar,12462
12-mar,15113
13-mar,17660
14-mar,21157
15-mar,24747
16-mar,27980
17-mar,31506
18-mar,35713
19-mar,41035
20-mar,47021
21-mar,53578
22-mar,59138
23-mar,63927
24-mar,69176
25-mar,74386
26-mar,80539
27-mar,86498
28-mar,92472
29-mar,97689
30-mar,101739
